Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
ABB,4620,-,18-Feb-24,All,0,Manual-Resistance-Support
ACC,-,-,28-Dec-23,All,0,Manual-Resistance-Support
AUBANK,813.1,-,18-Feb-24,All,0,Manual-Resistance-Support
AARTIIND,694.76,-,18-Feb-24,All,0,Manual-Resistance-Support
ABBOTINDIA,-,22009,28-Dec-23,All,0,Manual-Resistance-Support
ADANIENT,-,2743,28-Dec-23,All,0,Manual-Resistance-Support
ADANIPORTS,1099,993,28-Dec-23,All,0,Manual-Resistance-Support
ABCAPITAL,182.25,-,18-Feb-24,All,0,Manual-Resistance-Support
ABFRL,266,-,18-Feb-24,All,0,Manual-Resistance-Support
ALKEM,5310.8,-,18-Feb-24,All,0,Manual-Resistance-Support
AMBUJACEM,-,483,,All,0,Manual-Resistance-Support
APOLLOHOSP,6428,5330,18-Feb-24,All,0,Manual-Resistance-Support
APOLLOTYRE,-,441,,All,0,Manual-Resistance-Support
ASHOKLEY,188.05,-,18-Feb-24,All,0,Manual-Resistance-Support
ASIANPAINT,3420.8,-,18-Feb-24,All,0,Manual-Resistance-Support
ASTRAL,2014,-,18-Feb-24,All,0,Manual-Resistance-Support
ATUL,-,-,,All,0,Manual-Resistance-Support
AUROPHARMA,-,-,,All,0,Manual-Resistance-Support
AXISBANK,-,-,,All,0,Manual-Resistance-Support
BSOFT,863,-,18-Feb-24,All,0,Manual-Resistance-Support
BAJAJ-AUTO,-,-,,All,0,Manual-Resistance-Support
BAJFINANCE,-,-,,All,0,Manual-Resistance-Support
BAJAJFINSV,1738,-,,All,0,Manual-Resistance-Support
BALKRISIND,-,-,,All,0,Manual-Resistance-Support
BALRAMCHIN,414,379,,All,0,Manual-Resistance-Support
BANDHANBNK,-,-,,All,0,Manual-Resistance-Support
BANKBARODA,-,-,,All,0,Manual-Resistance-Support
BATAINDIA,-,-,,All,0,Manual-Resistance-Support
BERGEPAINT,597,563,,All,0,Manual-Resistance-Support
BEL,195.2,-,18-Feb-24,All,0,Manual-Resistance-Support
BHARATFORG,-,-,,All,0,Manual-Resistance-Support
BHEL,224.9,-,18-Feb-24,All,0,Manual-Resistance-Support
BPCL,634.75,432,18-Feb-24,All,0,Manual-Resistance-Support
BHARTIARTL,-,-,,All,0,Manual-Resistance-Support
BIOCON,-,-,,All,0,Manual-Resistance-Support
BOSCHLTD,-,-,,All,0,Manual-Resistance-Support
BRITANNIA,-,-,,All,0,Manual-Resistance-Support
CANFINHOME,826,-,18-Feb-24,All,0,Manual-Resistance-Support
CANBK,580.4,-,18-Feb-24,All,0,Manual-Resistance-Support
CHAMBLFERT,-,322,,All,0,Manual-Resistance-Support
CHOLAFIN,-,-,,All,0,Manual-Resistance-Support
CIPLA,-,1195,,All,0,Manual-Resistance-Support
CUB,-,-,,All,0,Manual-Resistance-Support
COALINDIA,-,-,,All,0,Manual-Resistance-Support
COFORGE,6780,-,18-Feb-24,All,0,Manual-Resistance-Support
COLPAL,-,-,,All,0,Manual-Resistance-Support
CONCOR,-,818,18-Feb-24,All,0,Manual-Resistance-Support
COROMANDEL,1267,1038,18-Feb-24,All,0,Manual-Resistance-Support
CROMPTON,-,-,,All,0,Manual-Resistance-Support
CUMMINSIND,-,-,,All,0,Manual-Resistance-Support
DLF,814.6,-,18-Feb-24,All,0,Manual-Resistance-Support
DABUR,-,-,,All,0,Manual-Resistance-Support
DALBHARAT,2310,-,18-Feb-24,All,0,Manual-Resistance-Support
DEEPAKNTR,2354,-,18-Feb-24,All,0,Manual-Resistance-Support
DELTACORP,154.1,-,18-Feb-24,All,0,Manual-Resistance-Support
DIVISLAB,3777,-,18-Feb-24,All,0,Manual-Resistance-Support
DIXON,6458,-,18-Feb-24,All,0,Manual-Resistance-Support
LALPATHLAB,2523,-,18-Feb-24,All,0,Manual-Resistance-Support
DRREDDY,-,-,18-Feb-24,All,0,Manual-Resistance-Support
EICHERMOT,3993,-,18-Feb-24,All,0,Manual-Resistance-Support
ESCORTS,3059,-,18-Feb-24,All,0,Manual-Resistance-Support
EXIDEIND,341.5,-,18-Feb-24,All,0,Manual-Resistance-Support
GAIL,186.2,-,18-Feb-24,All,0,Manual-Resistance-Support
GMRINFRA,92.55,-,18-Feb-24,All,0,Manual-Resistance-Support
GLENMARK,-,-,,All,0,Manual-Resistance-Support
GODREJCP,-,-,,All,0,Manual-Resistance-Support
GODREJPROP,-,-,,All,0,Manual-Resistance-Support
GRANULES,441.15,-,18-Feb-24,All,0,Manual-Resistance-Support
GRASIM,2196,-,18-Feb-24,All,0,Manual-Resistance-Support
GUJGASLTD,-,-,,All,0,Manual-Resistance-Support
GNFC,-,-,,All,0,Manual-Resistance-Support
HCLTECH,-,-,,All,0,Manual-Resistance-Support
HDFCAMC,-,-,,All,0,Manual-Resistance-Support
